Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,09:15,04h 30m,250,35 Seats available,4.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,10:15,04h 00m,460,27 Seats available,"4.0
60",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,12:00,04h 45m,250,35 Seats available,4.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,11:15,04h 00m,460,37 Seats available,"4.3
48",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 193585,Express Non AC Seater 2+3,07:40,12:20,04h 40m,227,42 Seats available,4.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 192577,Express Non AC Seater 2+3,08:00,12:55,04h 55m,229,46 Seats available,4.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 144042,Super Luxury Volvo AC Seater Pushback 2+2,08:21,12:20,03h 59m,460,37 Seats available,"4.3
5",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,09:16,13:20,04h 04m,460,37 Seats available,"4.6
20",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 174461,Express Non AC Seater 2+3,09:30,14:15,04h 45m,229,42 Seats available,4.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 160781,Super Luxury Volvo AC Seater Pushback 2+2,10:00,14:00,04h 00m,460,37 Seats available,"4.6
6",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
