Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,270,10 Seats available,"3.8
320",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,298,23 Seats available,"4.2
343",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),08:00,12:30,04h 30m,298,21 Seats available,4.0,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,298,11 Seats available,"4.0
42",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 143958,Bharat Benz A/C Seater (2+2),16:15,20:30,04h 15m,298,22 Seats available,"3.8
92",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,08:30,03h 15m,300,37 Seats available,"4.5
79",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,349,9 Seats available,"4.6
404",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,360,26 Seats available,"4.0
229",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,352.38,15 Seats available,"4.2
43",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,360,20 Seats available,"4.1
403",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),07:35,11:00,03h 25m,342.86,23 Seats available,"3.7
102",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,360,28 Seats available,"4.1
354",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,366,24 Seats available,"4.6
90",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Mahalaxmi Travels,Tata A/C Seater (2+2),09:55,13:45,03h 50m,300,28 Seats available,"3.6
39",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
